"Skill","Skill_time"
"accounting",27
"acquisition",65.8333333333333
"act",44.9
"active directory",NA
"administration",25.25
"adobe",36.8333333333333
"adobe photoshop",45
"agile development",26.3333333333333
"ai",43.1666666666667
"ajax",NA
"amazon ec2",12
"amazon s3",12
"amazon web services",NA
"analog",54
"analytics",49.65625
"android",54.5
"angular",178.5
"angular js",NA
"angularjs",NA
"animation",81
"ansible",NA
"anti",22.5
"ap",51.0416666666667
"apache",90
"apache spark",90
"api",20.5
"apis",47.5
"application development",6
"ar",29.4642857142857
"architecture",25.5
"arm",56.5833333333333
"articulate",18.4166666666667
"artificial intelligence",46.875
"asp",NA
"asp.net",NA
"assembly",32.5
"asset management",30.5
"atm",28
"audio",35.3333333333333
"audit",52
"authentication",30
"automated",100
"automation",24
"automotive",90.5
"aws",12.75
"azure",NA
"bash",NA
"best practices",30.9642857142857
"bgp",NA
"bi",43.75
"big data",42.3181818181818
"biology",33.4565217391304
"bom",25
"bootstrap",29.6666666666667
"browsers",29
"budget",23.4
"business intelligence",28.25
"business objects",13.5
"business operations",68.8333333333333
"business requirements",49
"c",40.7407407407407
"c plus plus",NA
"c#",NA
"cad",33
"cassandra",NA
"ccie",NA
"ccna",NA
"ccnp",NA
"cd",25
"cgi",108
"change management",21
"ci",25
"circuit",31
"cism",NA
"citrix",NA
"claims",46
"clarity",19.5
"cloud architecture",9
"cloud security",10.5
"cloudwatch",12
"collaboration",45.5263157894737
"computer science",42.4074074074074
"configuration management",NA
"configure",21
"confluence",112
"consulting",26.6666666666667
"continuous improvement",21
"continuous integration",NA
"core java",NA
"creativity",35
"crm",24
"cross",29.8055555555556
"cryptography",54.125
"csm",10
"css",58
"css3",6
"customer engagement",20
"customer service",18
"cyber security",NA
"cybersecurity",21
"dashboard",27.5
"data analysis",26.32
"data architecture",NA
"data collection",42.5
"data flow",15
"data integration",12
"data management",108
"data manipulation",35
"data mining",81
"data quality",72
"data science",44.4054054054054
"data security",12
"data storage",160
"data structure",45
"data structures",46
"data visualization",23.0625
"data warehouse",NA
"database",29
"database design",36
"databases",26.6666666666667
"db2",NA
"debug",72
"decision support",70
"delivery",16.2916666666667
"deployment",25.9166666666667
"design",46.1324786324786
"design patterns",54
"desktop support",NA
"detail",48.0833333333333
"devops",16.3333333333333
"disaster recovery",NA
"distribution",59.1875
"dns",NA
"documentation",14.6666666666667
"dom",28
"ebs",12
"ec2",12
"eclipse",28
"ecommerce",63
"economics",42.8225806451613
"embedded",50.6
"embedded systems",60.8
"encryption",13.5
"end",36.4915966386555
"engineering",48.0416666666667
"erp",NA
"etl",NA
"evaluation",53.0909090909091
"excel",30.6785714285714
"exchange",33.5909090909091
"fda",28
"finance",35.3333333333333
"financial services",41.5
"firewalls",NA
"flash",30
"focus",38.1688311688312
"forensics",144
"forms",30.6521739130435
"forth",26
"framework",38.9459459459459
"front end development",6
"game development",21
"genetic",47.5714285714286
"git",10
"github",30
"governance",35.4
"gps",15
"graphic design",10
"graphics",84
"gui",36
"hadoop",90
"hardware",36
"hbase",NA
"health care",31.6538461538462
"healthcare",33.0294117647059
"heroku",90
"hibernate",NA
"higher education",32.5
"hive",NA
"hr",20
"html",59.6666666666667
"html5",26.5
"http",69.5
"hub",18.5
"iaas",40.5
"ibm",32.7727272727273
"ide",35
"ids",NA
"iis",NA
"information security",33.75
"information technology",40.6
"insurance",46.5
"integration",34.125
"interaction design",21
"interface",41.25
"interfaces",40.0714285714286
"internet",31.1222222222222
"inventory",64.5
"ios",72
"iot",22.5714285714286
"ip",15
"iso",NA
"isso",35
"iterative",23.3
"j2ee",NA
"java",33.7272727272727
"javascript",67.8
"jax",14
"jboss",14
"jdbc",NA
"jenkins",25
"jira",NA
"jquery",28
"js",16
"json",28
"junit",28
"kafka",NA
"kanban",15.5
"kubernetes",15
"lan",76
"leadership",29.1486486486486
"libraries",39.0384615384615
"line interface",38.5
"linux",35.96875
"logistics",25.4
"machine learning",45.2142857142857
"maintenance",95
"malware",8.25
"management",37.25
"manual",24
"mapreduce",71.25
"mariadb",35
"materials",45.14
"mathematics",37.5
"matlab",75.2
"maven",NA
"mechanical",87.5
"medical",45.6851851851852
"medical devices",28
"meta",18.6666666666667
"metrics",34.6
"microcontrollers",112
"microservices",12
"microsoft access",32
"microsoft excel",32.5
"microsoft office",32
"microsoft powerpoint",21
"microsoft sql server",NA
"microsoft windows azure",NA
"migration",35.2857142857143
"mobile ",40.5909090909091
"mobile devices",31.3333333333333
"modeling",61.16
"mongodb",28
"monitoring",34.95
"mvc",NA
"mysql",35
"net",24.5
"network",33.695652173913
"network security",76
"networks",33.2058823529412
"next",51.9848484848485
"nexus",30
"node",26
"node.js",28
"nodejs",NA
"nosql",28
"object",55.1470588235294
"object oriented design",54
"olap",18
"oop",42.5
"open source",41.4117647058824
"opengl",54
"operating systems",53
"operations",43.3888888888889
"optimization",112.8125
"oracle",20
"organizational",38.975
"os",29.8387096774194
"ospf",NA
"outlook",30
"paas",40.5
"payments",21
"performance",36.8
"peripherals",42
"perl",NA
"photoshop",45
"php",NA
"physics",78.3958333333333
"pl",NA
"pm",18.25
"pmi",21.7307692307692
"pmo",21
"pmp",13.2142857142857
"policies",41.7972972972973
"postgresql",NA
"power bi",43.75
"powerpoint",21
"powershell",NA
"presentation",23.4375
"process improvement",50
"procurement",31.5
"product design",16.6666666666667
"product development",18
"product management",18.5
"production",44.2096774193548
"program management",15
"program manager",15
"programming",44.3486842105263
"project",37.4347826086956
"project delivery",10
"project management",33.0869565217391
"project manager",31.4166666666667
"protocol",18.75
"protocols",24.1666666666667
"puppet",NA
"python",51.1515151515151
"qa",20
"quality",32.6833333333333
"quality assurance",27.8333333333333
"quality control",15
"r",35.9310344827586
"rational",100.166666666667
"rdbms",35
"react",19.25
"react.js",28
"recovery",28.2
"red hat",16
"regression",63.9375
"relational database",20.2
"relational databases",16.5
"release",30
"repair",30.375
"replication",30
"reporting",63.75
"requirements",48.3125
"responsive design",28
"rest",23.0714285714286
"restful",28
"restful apis",28
"retail",19
"risk assessment",42
"risk management",20
"roadmaps",10
"robotics",87.3333333333333
"root",29.6
"root cause analysis",28
"ruby",NA
"ruby on rails",NA
"s3",52
"saas",40.5
"sales",46.8333333333333
"salesforce",NA
"san",34.5
"sans",71.5
"sap",NA
"sas",NA
"satellite",24
"scala",NA
"scalability",46.8
